TRACE: 0.9143214574343509
REF: VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=1.0, volat=1.3104432919128775]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.000000000000001, timeMuMult=1.7999999999999998, volat=1.300617572783547]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.1, timeMuMult=0.7999999999999993, volat=1.300908704968413]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.100000000000001, timeMuMult=1.6999999999999997, volat=1.3027703269097786]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.2000000000000002, timeMuMult=1.0999999999999992, volat=1.3099766609756154]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.9000000000000008, timeMuMult=1.7999999999999998, volat=1.311239342448594]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.5000000000000004, timeMuMult=1.3999999999999995, volat=1.317502816054057]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.9000000000000017, timeMuMult=2.0, volat=1.3181874177207638]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=0.8999999999999992, volat=1.323324901451874]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.000000000000001, timeMuMult=1.5999999999999996, volat=1.3255455558082172]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.9000000000000008, timeMuMult=1.9, volat=1.3255569150341546]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.6000000000000014, timeMuMult=1.6999999999999997, volat=1.325677460144579]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.4000000000000004, timeMuMult=1.1999999999999993, volat=1.3271260427340115]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.6000000000000005, timeMuMult=1.0999999999999992, volat=1.3271410308540195]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.100000000000001, timeMuMult=1.5999999999999996, volat=1.3280855130292513]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.8000000000000016, timeMuMult=1.7999999999999998, volat=1.329554581899824]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.8000000000000007, timeMuMult=1.5999999999999996, volat=1.3337389133817021]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.3000000000000003, timeMuMult=1.2999999999999994, volat=1.3343486631782127]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.8000000000000016, timeMuMult=1.9, volat=1.3345884836832378]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.1, timeMuMult=0.9999999999999992, volat=1.3375254421365685]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.5000000000000004, timeMuMult=0.8999999999999992, volat=1.3404662846469448]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.300000000000001, timeMuMult=1.4999999999999996, volat=1.3431387527728498]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.6000000000000014, timeMuMult=2.0, volat=1.3462973575647907]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.2000000000000002, timeMuMult=0.8999999999999992, volat=1.3475720588171785]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.5000000000000004, timeMuMult=1.5999999999999996, volat=1.3494893265890735]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.4000000000000012, timeMuMult=1.7999999999999998, volat=1.3495348859026177]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.300000000000001, timeMuMult=1.5999999999999996, volat=1.351006633292853]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.000000000000001, timeMuMult=1.3999999999999995, volat=1.35205643621911]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.6000000000000005, timeMuMult=1.4999999999999996, volat=1.3532700222363727]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.300000000000001, timeMuMult=1.6999999999999997, volat=1.3543284547849093]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.7000000000000006, timeMuMult=1.3999999999999995, volat=1.3554428339524272]
