VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=1.0, volat=1.284930740948926]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.7000000000000015, timeMuMult=2.0, volat=1.3528252067131903]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=0.8999999999999992, volat=1.3543147999535097]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.8000000000000007, timeMuMult=1.0999999999999992, volat=1.357563940290321]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=1.2999999999999994, volat=1.3582844891087755]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.100000000000001, timeMuMult=1.6999999999999997, volat=1.3583673108963252]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.8000000000000016, timeMuMult=1.9, volat=1.3584452652443995]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.6000000000000014, timeMuMult=2.0, volat=1.358984509680492]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.1, timeMuMult=0.8999999999999992, volat=1.364675275051004]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.9000000000000017, timeMuMult=1.9, volat=1.3647989014209145]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.7000000000000015, timeMuMult=1.7999999999999998, volat=1.3694837501800077]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.000000000000001, timeMuMult=1.5999999999999996, volat=1.3740530732075262]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.8000000000000016, timeMuMult=1.7999999999999998, volat=1.3778963809441973]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.100000000000001, timeMuMult=1.7999999999999998, volat=1.378390498214005]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.1, timeMuMult=1.0999999999999992, volat=1.3793293499887085]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=0.7999999999999993, volat=1.3812382980544358]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.8000000000000016, timeMuMult=1.5999999999999996, volat=1.3839508914280225]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.2000000000000002, timeMuMult=0.6999999999999993, volat=1.385642324521673]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.9000000000000008, timeMuMult=1.2999999999999994, volat=1.3918756284432507]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.6000000000000005, timeMuMult=1.1999999999999993, volat=1.3976738851936399]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.5000000000000004, timeMuMult=1.0999999999999992, volat=1.4030627275630063]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.5000000000000013, timeMuMult=1.9, volat=1.4062999760902268]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.1, timeMuMult=1.3999999999999995, volat=1.4077052546880795]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.7000000000000015, timeMuMult=1.9, volat=1.4123292349394239]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.7000000000000015, timeMuMult=1.5999999999999996, volat=1.4195965775352966]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.2000000000000002, timeMuMult=0.7999999999999993, volat=1.4200931470691809]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.300000000000001, timeMuMult=1.5999999999999996, volat=1.420690338254975]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.2000000000000002, timeMuMult=0.5999999999999993, volat=1.4216580711151796]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.7000000000000015, timeMuMult=1.4999999999999996, volat=1.4302437013531752]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.000000000000001, timeMuMult=1.1999999999999993, volat=1.4308095022200553]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.9000000000000008, timeMuMult=1.0999999999999992, volat=1.4311476722644307]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.5000000000000013, timeMuMult=1.6999999999999997, volat=1.4344222651810044]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.4000000000000012, timeMuMult=2.0, volat=1.4356574118283356]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.300000000000001, timeMuMult=1.4999999999999996, volat=1.4357710667160666]
